Movie Name,rating,Vote Count
The Shawshank Redemption,9.3,(3.1M)
The Godfather,9.2,(2.2M)
The Dark Knight,9.1,(3.1M)
The Godfather: Part II,9.0,(1.5M)
12 Angry Men,9.0,(969K)
The Lord of the Rings: The Return of the King,9.0,(2.1M)
Schindler's List,9.0,(1.6M)
The Lord of the Rings: The Fellowship of the Ring,8.9,(2.2M)
Pulp Fiction,8.8,(2.4M)
"Il Buono, Il Brutto, Il Cattivo",8.8,(882K)
The Lord of the Rings: The Two Towers,8.8,(1.9M)
Forrest Gump,8.8,(2.5M)
Fight Club,8.8,(2.6M)
Inception,8.8,(2.8M)
Star Wars: Episode V - The Empire Strikes Back,8.7,(1.5M)
The Matrix,8.7,(2.2M)
GoodFellas,8.7,(1.4M)
Interstellar,8.7,(2.5M)
One Flew Over the Cuckoo's Nest,8.6,(1.1M)
Se7en,8.6,(2M)
It's a Wonderful Life,8.6,(550K)
The Silence of the Lambs,8.6,(1.7M)
Shichinin No Samurai,8.6,(398K)
Saving Private Ryan,8.6,(1.6M)
The Green Mile,8.6,(1.5M)
